Mask_freq, Probe_level, Mask_level, Loss, Var0, Var1, Var2, Var3
60.0, 30, 40, 0.07792302953042748, 0.0, -0.0010487795488011429, -0.14, 0.0
60.0, 30, 60, 0.13102776385645468, 0.0, -0.0010487795488011429, 0.2853144100000001, 0.0
60.0, 30, 80, 0.15247167613757706, 0.0302031113721919, 0.033642943843310784, 5.021042237588112, 2.8942678344077045e-06
60.0, 60, 40, 0.3572236949103711, 0.0, -0.0010487795488011429, 0.9379365114345292, 0.0
60.0, 60, 60, 0.08426124126980031, 0.0, -0.0010487795488011429, 1.666404635547806, 0.0
60.0, 60, 80, 0.1554776409259519, 0.0, -0.0010487795488011429, 3.8600649, 0.0
568.0, 30, 40, 0.0441020666931893, 0.0006192938357715868, -0.18102559000000007, 0.16349510000000006, 0.0
568.0, 30, 60, 1.106883472149992, 0.0, 4.094744000000002, 2.4121943000000003, 0.0
568.0, 30, 80, 1.1820543272341117, 0.0, 1.9399818, 60.674936000000294, 0.0
568.0, 60, 40, 0.16126610176819958, 0.06301529783959438, 2.6847907656260874, 0.6166510316371033, 0.00012710709432488558
568.0, 60, 60, 0.34232160002618434, 0.0, 2.6149, -0.26010000000000005, 0.0
568.0, 60, 80, 1.2380465122859263, 7.946053772135567e-05, 0.6441295193069418, 13.767002236539106, 0.00047219058391061164
1370.0, 30, 40, 0.012861348277182874, 0.0010838402455065875, 1.6169606321528427, 14.927335351129111, 0.09538753717024029
1370.0, 30, 60, 0.3007100557099497, 0.0, 3.504420470000001, 5.701028057503682, 0.0
1370.0, 30, 80, 0.10028309181131745, 0.0009737917168433745, 1.6678600619336823, 54.71960264974364, 1.67652007665199
1370.0, 60, 40, 0.09431160089356909, 0.0, 0.44828559000000007, 0.5202056700000003, 0.0
1370.0, 60, 60, 0.617423055343422, 0.0, 1.9742869771309421, -0.09756230000000003, 0.0
1370.0, 60, 80, 0.828378267107732, 0.0010586111594812504, 0.6053796626157986, 38.75028359576537, 0.998626090395161
2908.0, 30, 40, 0.12187194203323852, 0.2096557702702496, -0.35732854224096233, -0.054451893278159545, 0.8216992626929713
2908.0, 30, 60, 1.8649264587031529, 0.6053439476530965, -0.3094766924079447, 0.6432722493786385, 2.233779211453621
2908.0, 30, 80, 5.050998575202857, 0.0, 0.5040000000000001, 25.579652729162117, 0.0002126963809211918
2908.0, 60, 40, 0.2905479413823344, 0.0014371678810968127, 5.883551897174794, 2.9242799763527056, 6.333834941619392e-06
2908.0, 60, 60, 0.2567381719288448, 6.5955610900098e-05, 4.855519401297174, 2.3554318897744, 7.515255639985717e-05
2908.0, 60, 80, 0.5645250366583205, 0.00029937745860137425, 0.5342302989841192, 13.635928012623111, 0.8762191606229219
7000.0, 30, 40, 0.06483597050433712, 0.0, 2.7531062447000005, 0.0, 0.0
7000.0, 30, 60, 0.0021080724588574454, 0.6461106345209586, -0.40563104390237925, -0.027943078154848325, 0.0061366089452391664
7000.0, 30, 80, 0.02948303148604015, 0.17284146705990566, 0.10230876542174905, -0.00364074182323741, 0.025643746394799237
7000.0, 60, 40, 0.22270047321445938, 1.5764299130156605e-05, 13.220278255725509, 0.023820447747516092, 0.209267933009082
7000.0, 60, 60, 0.12945077382419468, 0.0, 9.914378074420544, 0.0, 0.0
7000.0, 60, 80, 0.04744321289919365, 1.6940330544097827e-06, 10.681710196126494, 0.0990433944546275, 0.13828647100776034
