Mask_freq, Probe_level, Mask_level, Loss, Var0, Var1, Var2
60.0, 30, 40, 0.08062492525698556, 0.9019387216529127, 0.07884097796401972, -0.15249452556872922
60.0, 30, 60, 0.0781857638888854, 2.9132829000000005, 145.2473063236415, 157625986957967.38
60.0, 30, 80, 0.24623683561396303, 1.4924601636357173, -0.16492146699217547, 0.0018524046896475756
60.0, 60, 40, 0.21556250033979862, 1.765924545399086, -3.568005305338279, 124875.192307324
60.0, 60, 60, 0.02624901368672634, 0.8915714567177349, 35.80851361384364, 37.233022873526615
60.0, 60, 80, 0.13176549874508525, 1.7601413950712415, 0.06859241125484328, 18.19329102325892
568.0, 30, 40, 0.04624999725680427, 0.6776000000000002, 0.018006300000000003, -0.05103000000000001
568.0, 30, 60, 0.7355555555576728, 2.7423439999999992, 6.300221341093011, 78812993478983.69
568.0, 30, 80, 0.6243136861046814, 0.40664299682916855, 6724.683824438548, 5.973536810180561
568.0, 60, 40, 0.16552885725263006, 1.6853083645819888, -2.3730590014552977, 2.0547746262887774
568.0, 60, 60, 0.4043750117229104, 0.8993028692562409, 0.7604259845650798, -0.19039641247273698
568.0, 60, 80, 0.18821722886912742, 0.14362442438429096, 5.219751377639108, 4.629557277140331
1370.0, 30, 40, 0.011785537687931977, 0.025741155049400073, 2.1388442278961413, 2.274223002849841
1370.0, 30, 60, 0.4525967810421656, 1.2184759856913234, 0.5240390611462732, 1.2298984423245958
1370.0, 30, 80, 0.22676339490474742, 0.10093065554341943, 3466.2082445997476, 2.2733231597120165
1370.0, 60, 40, 0.15181225805697418, 1.6470268844177094, 1.1522988203422415, 2.995538460161025
1370.0, 60, 60, 0.4120957315569804, 0.8190773451639022, 2.0794032084304503, 660.5735475315469
1370.0, 60, 80, 0.2988583802027877, -2.562261507842894e-07, 4.507736769876897, 2.6215009187042058
2908.0, 30, 40, 0.08775000000036541, 0.8822451263569205, -2.7516799885090135, 175223625.46349508
2908.0, 30, 60, 1.8698605614828918, 2.6865497720477953, -0.26515805506085577, 0.7083993666957186
2908.0, 30, 80, 0.2943995848154199, 0.012633364256605224, 2.2117802171079446, 3.6952985408142185
2908.0, 60, 40, 0.17816810528709653, 1.697000124411465, -2.340768796144923, 17.36611443848336
2908.0, 60, 60, 0.16395254641883472, 0.8048414189633795, -2.056516328755205, 530271277233.9604
2908.0, 60, 80, 0.40683655897839455, 0.6936197394907062, 2.8099487053444383, 2.316532847237315
7000.0, 30, 40, 0.06950000000165163, 0.9323001600000007, 653.3497180859188, -4925812092436.48
7000.0, 30, 60, 0.0012541002664785985, 2.9746588099148616, 78140.08896378429, -28.823327158713948
7000.0, 30, 80, 0.033533527711142444, 0.8700780486733504, -0.2702308709689283, 0.9256507504521053
7000.0, 60, 40, 0.26090312729550796, 0.0, -0.024583779727939854, 0.9018856000000004
7000.0, 60, 60, 0.14937499999999998, 0.00011133378756322475, -0.01148811309989642, -0.843265952014662
7000.0, 60, 80, 0.07437500000000001, 0.00026115690138542183, 0.6334896558488885, -0.7050256261901077
